Proposal ID,Programme Name,Sub-programme Name,Supplement,Lead Applicant,ORCID,Research Body,Funder Name,Crossref Funder Registry ID,Proposal Title,Start Date,End Date,Revised Total Commitment
13/ERC/L2864,SFI ERC Support Programme,,,VP Research (UL),,University of Limerick (UL),Science Foundation Ireland,10.13039/501100001602,SFI ERC Support - Dr. David Hoey,01/12/2013,30/11/2018,286342.13
13/RC/2073s1,NSF/SFI Graduate Research Opportunities Worldwide Programme,,,Frank Barry,https://orcid.org/0000-0002-5535-002X,"National University of Ireland, Galway (NUIG)",Science Foundation Ireland,10.13039/501100001602,CÚRAM GROW Supplement,01/09/2015,31/05/2016,15546.75
13/IF/B2791,SFI Industry Fellowship Programme,,,Annette Byrne,https://orcid.org/0000-0003-0287-8899,Royal College of Surgeons in Ireland (RCSI),Science Foundation Ireland,10.13039/501100001602,Collaborative Predictive Biomarker/Companion Diagnostic Programme in Oncology: Integration of Bayer Healthcare Pharmaceuticals/ Royal College of Surgeons in Ireland Translational Research Agenda through application of a Global Medical Affairs Strategy,01/05/2014,31/10/2014,84709.37
13/IF/B2792,SFI Industry Fellowship Programme,,,Maria Luisa Guerriero,,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,"Integrating genomic variation data into dynamic
modelling to investigate cell-type specific pharmacological sensitivity in signalling pathways
involving the PTEN tumour suppressor",01/01/2014,31/12/2014,96876.04
13/IF/B2793,SFI Industry Fellowship Programme,,,Caroline Jefferies,,Royal College of Surgeons in Ireland (RCSI),Science Foundation Ireland,10.13039/501100001602,Biomarker analysis in SLE,01/01/2014,30/09/2014,51233.37
13/IF/B2796,SFI Industry Fellowship Programme,,,Therese Mahony,,"National University of Ireland, Galway (NUIG)",Science Foundation Ireland,10.13039/501100001602,Formulations and delivery systems for prevention and treatment of bovine Johne's Disease,01/01/2014,31/12/2014,118682.55
13/IF/B2801,SFI Industry Fellowship Programme,,,Mark Tangney,https://orcid.org/0000-0002-6314-1260,University College Cork (UCC),Science Foundation Ireland,10.13039/501100001602,Commercialisation of Bacterial Imaging Technology,01/05/2014,31/08/2014,24857.2
13/IF/E2803,SFI Industry Fellowship Programme,,,Denis Dowling,https://orcid.org/0000-0001-7853-2478,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Technical and Commercial Development of Rapid Discharge Sintering Technology,01/01/2014,30/06/2015,12619.5
13/IF/E2804,SFI Industry Fellowship Programme,,,Andrew Keane,https://orcid.org/0000-0001-8527-514X,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Development of Irish Smart Grid Test Bed: Demonstration Projects,01/03/2014,31/01/2015,96454.72
13/IF/E2805,SFI Industry Fellowship Programme,,,Michael Lyons,https://orcid.org/0000-0002-0320-7547,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,"Specialization program on enabling high-tech innovations for resource and energy-efficiency during production, recycling and substitution of raw materials",01/11/2013,31/10/2015,55046.58
13/IF/I2629,SFI Industry Fellowship Programme,,,Yassine Lassoued,,University College Cork (UCC),Science Foundation Ireland,10.13039/501100001602,Risk Information Visualisation,01/03/2014,28/02/2015,117774.84
